,fecha,codigo_barrio,conducta,crime_count
0,2008-01-01,112,HOMICIDIO,1.0
1,2008-01-01,405,HURTO_DE_CARRO,1.0
2,2008-01-01,608,HOMICIDIO,1.0
3,2008-01-01,713,HURTO_A_RESIDENCIA,1.0
4,2008-01-01,1306,HOMICIDIO,1.0
5,2008-01-01,1314,HOMICIDIO,1.0
6,2008-01-02,403,HOMICIDIO,1.0
7,2008-01-02,1013,HOMICIDIO,1.0
8,2008-01-02,1015,HOMICIDIO,1.0
9,2008-01-02,1015,HURTO_A_PERSONA,1.0
10,2008-01-02,1503,HOMICIDIO,1.0
11,2008-01-02,1620,HURTO_A_PERSONA,1.0
12,2008-01-03,1109,HURTO_DE_CARRO,1.0
13,2008-01-04,517,HURTO_A_PERSONA,1.0
14,2008-01-04,601,HURTO_A_PERSONA,1.0
15,2008-01-04,607,HOMICIDIO,1.0
16,2008-01-04,810,HOMICIDIO,1.0
17,2008-01-04,912,HURTO_DE_CARRO,1.0
18,2008-01-04,1013,HURTO_A_PERSONA,1.0
19,2008-01-04,1016,HURTO_A_PERSONA,1.0
20,2008-01-04,1301,HURTO_A_PERSONA,1.0
21,2008-01-04,1310,HOMICIDIO,1.0
22,2008-01-04,1606,HURTO_DE_CARRO,1.0
23,2008-01-05,112,HOMICIDIO,1.0
24,2008-01-05,514,HOMICIDIO,1.0
25,2008-01-05,801,HOMICIDIO,1.0
26,2008-01-05,906,HOMICIDIO,1.0
27,2008-01-05,1105,HURTO_DE_CARRO,1.0
28,2008-01-05,1416,HURTO_A_RESIDENCIA,1.0
29,2008-01-05,1504,HOMICIDIO,1.0
30,2008-01-05,1510,HURTO_A_PERSONA,1.0
31,2008-01-06,201,HOMICIDIO,1.0
32,2008-01-06,913,HOMICIDIO,1.0
33,2008-01-06,1012,HOMICIDIO,1.0
34,2008-01-06,1107,HURTO_A_PERSONA,1.0
35,2008-01-06,1109,HURTO_DE_CARRO,1.0
36,2008-01-06,1403,HOMICIDIO,1.0
