dayofyear,weekofyear,quarter,weekday,weekend,fecha,year,codigo_barrio,latitud,longitud,conducta,Coordinates,area
1,1,1,1,0,2008-01-01,2008,405,6.27416,-75.566394,HURTO_DE_CARRO,POINT (437348.52213869797 693544.8068185762),481968.1431574272
21,4,1,0,0,2008-01-21,2008,405,6.273042,-75.564864,HURTO_DE_CARRO,POINT (437517.6348043311 693421.0309034691),481968.1431574272
40,6,1,5,1,2008-02-09,2008,405,6.275265,-75.568084,HURTO_DE_CARRO,POINT (437161.709738101 693667.1653438191),481968.1431574272
148,22,2,1,0,2008-05-27,2008,405,6.272532,-75.565506,HURTO_DE_CARRO,POINT (437446.5569820277 693364.727670806),481968.1431574272
212,31,3,2,0,2008-07-30,2008,405,6.273482,-75.566139,HURTO_DE_CARRO,POINT (437376.64884296845 693469.8243962514),481968.1431574272
290,42,4,3,0,2008-10-16,2008,405,6.275764,-75.569153,HURTO_DE_CARRO,POINT (437043.5189901861 693722.457409081),481968.1431574272
183,27,3,3,0,2009-07-02,2009,405,6.274064,-75.566844,HURTO_DE_CARRO,POINT (437298.73247318104 693534.2479516411),481968.1431574272
205,30,3,4,1,2009-07-24,2009,405,6.275269,-75.56556,HURTO_DE_CARRO,POINT (437440.9099779858 693667.3056164802),481968.1431574272
289,42,4,4,1,2009-10-16,2009,405,6.275764,-75.569153,HURTO_DE_CARRO,POINT (437043.5189901861 693722.457409081),481968.1431574272
342,50,4,1,0,2009-12-08,2009,405,6.274076,-75.566326,HURTO_DE_CARRO,POINT (437356.0341448977 693535.5126091983),481968.1431574272
236,34,3,5,1,2008-08-23,2008,405,6.280047,-75.565376,HURTO_A_PERSONA,POINT (437461.83362685534 694195.4849026832),481968.1431574272
28,5,1,2,0,2009-01-28,2009,405,6.272668,-75.565514,HURTO_A_PERSONA,POINT (437445.68824761495 693379.763233166),481968.1431574272
98,15,2,2,0,2009-04-08,2009,405,6.275936,-75.565548,HURTO_A_PERSONA,POINT (437442.316955124 693741.0401014787),481968.1431574272
104,16,2,1,0,2009-04-14,2009,405,6.273042,-75.564864,HURTO_A_PERSONA,POINT (437517.6348043311 693421.0309034691),481968.1431574272
132,20,2,1,0,2009-05-12,2009,405,6.277394,-75.56635,HURTO_A_PERSONA,POINT (437353.7756584438 693902.315788706),481968.1431574272
205,30,3,4,1,2009-07-24,2009,405,6.275269,-75.56556,HURTO_A_PERSONA,POINT (437440.9099779858 693667.3056164802),481968.1431574272
301,44,4,2,0,2009-10-28,2009,405,6.275936,-75.565548,HURTO_A_PERSONA,POINT (437442.316955124 693741.0401014787),481968.1431574272
342,50,4,1,0,2009-12-08,2009,405,6.274076,-75.566326,HURTO_A_PERSONA,POINT (437356.0341448977 693535.5126091983),481968.1431574272
60,9,1,4,1,2008-02-29,2008,405,6.275634,-75.565459,EXTORSION,POINT (437452.12592104473 693707.6438015254),481968.1431574272
48,8,1,1,0,2009-02-17,2009,405,6.280047,-75.565376,EXTORSION,POINT (437461.83362685534 694195.4849026832),481968.1431574272
305,44,4,4,1,2008-10-31,2008,405,6.274925,-75.567783,HOMICIDIO,POINT (437194.9650408854 693629.5427294235),481968.1431574272
86,13,1,2,0,2008-03-26,2008,405,6.276337,-75.56662,HOMICIDIO,POINT (437323.78258234385 693785.4981791396),481968.1431574272
365,1,4,1,0,2008-12-30,2008,405,6.273738,-75.5661,HOMICIDIO,POINT (437380.993514641 693498.1201806593),481968.1431574272
260,38,3,1,0,2008-09-16,2008,405,6.284119,-75.567836,HOMICIDIO,POINT (437190.2040941379 694645.9334674391),481968.1431574272
344,50,4,1,0,2008-12-09,2008,405,6.273441,-75.565184,HOMICIDIO,POINT (437482.2844593199 693465.1779326078),481968.1431574272
161,24,2,0,0,2008-06-09,2008,405,6.278634,-75.568598,HOMICIDIO,POINT (437105.25620397215 694039.665443837),481968.1431574272
319,46,4,4,1,2008-11-14,2008,405,6.276042,-75.568743,HOMICIDIO,POINT (437088.90568180475 693753.1407051557),481968.1431574272
228,33,3,4,1,2008-08-15,2008,405,6.278634,-75.568598,HOMICIDIO,POINT (437105.25620397215 694039.665443837),481968.1431574272
318,46,4,3,0,2008-11-13,2008,405,6.280307,-75.567001,HOMICIDIO,POINT (437282.11219637503 694224.4218624916),481968.1431574272
197,29,3,1,0,2008-07-15,2008,405,6.275746,-75.567674,HOMICIDIO,POINT (437207.12070495065 693720.2901043318),481968.1431574272
54,8,1,5,1,2008-02-23,2008,405,6.278149,-75.566329,HOMICIDIO,POINT (437356.1888403531 693985.7774900201),481968.1431574272
19,3,1,5,1,2008-01-19,2008,405,6.279693,-75.566703,HOMICIDIO,POINT (437315.0025947041 694156.5093196607),481968.1431574272
125,18,2,6,1,2008-05-04,2008,405,6.279003,-75.568514,HOMICIDIO,POINT (437114.59232558735 694080.4478191166),481968.1431574272
251,36,3,6,1,2008-09-07,2008,405,6.283418,-75.565455,HOMICIDIO,POINT (437453.497316924 694568.1537524579),481968.1431574272
62,9,1,6,1,2008-03-02,2008,405,6.275786,-75.567453,HOMICIDIO,POINT (437231.5720450591 693724.6855771691),481968.1431574272
226,33,3,2,0,2008-08-13,2008,405,6.27573,-75.568603,HOMICIDIO,POINT (437104.3547608383 693718.6327196251),481968.1431574272
169,25,2,1,0,2008-06-17,2008,405,6.276042,-75.569021,HOMICIDIO,POINT (437058.15392023034 693753.1740845533),481968.1431574272
249,36,3,6,1,2009-09-06,2009,405,6.281249,-75.56735,HOMICIDIO,POINT (437243.6197082486 694328.6005038704),481968.1431574272
220,32,3,5,1,2009-08-08,2009,405,6.282312,-75.567517,HOMICIDIO,POINT (437225.2740799611 694446.1337508664),481968.1431574272
25,4,1,6,1,2009-01-25,2009,405,6.274919,-75.565006,HOMICIDIO,POINT (437502.1506126712 693628.5475204794),481968.1431574272
202,30,3,1,0,2009-07-21,2009,405,6.28226,-75.566508,HOMICIDIO,POINT (437336.8798973426 694440.2643502889),481968.1431574272
203,30,3,2,0,2009-07-22,2009,405,6.272808,-75.5653,HOMICIDIO,POINT (437469.37728997844 693395.2145106216),481968.1431574272
175,26,2,2,0,2009-06-24,2009,405,6.278619,-75.568487,HOMICIDIO,POINT (437117.53292420396 694037.9938885942),481968.1431574272
110,17,2,0,0,2009-04-20,2009,405,6.284916,-75.564763,HOMICIDIO,POINT (437530.2224213397 694733.6729565348),481968.1431574272
257,38,3,0,0,2009-09-14,2009,405,6.28096,-75.567619,HOMICIDIO,POINT (437213.82918072806 694296.684185885),481968.1431574272
46,7,1,6,1,2009-02-15,2009,405,6.274646,-75.564692,HOMICIDIO,POINT (437536.8521566329 693598.3303295675),481968.1431574272
28,5,1,2,0,2009-01-28,2009,405,6.277026,-75.564796,HOMICIDIO,POINT (437525.63140446384 693861.4483637911),481968.1431574272
115,17,2,5,1,2009-04-25,2009,405,6.281958,-75.567844,HOMICIDIO,POINT (437189.060042407 694407.0387394243),481968.1431574272
161,24,2,2,0,2009-06-10,2009,405,6.275198,-75.56767,HOMICIDIO,POINT (437207.49756546656 693659.7089699425),481968.1431574272
180,27,2,0,0,2009-06-29,2009,405,6.276869,-75.56443,HOMICIDIO,POINT (437566.0987369064 693844.0486133114),481968.1431574272
38,6,1,5,1,2009-02-07,2009,405,6.27629,-75.564528,HOMICIDIO,POINT (437555.1892620904 693780.0526589648),481968.1431574272
216,32,3,1,0,2009-08-04,2009,405,6.27703,-75.568843,HOMICIDIO,POINT (437077.9624531472 693862.3747935338),481968.1431574272
324,47,4,4,1,2009-11-20,2009,405,6.282068,-75.567606,HOMICIDIO,POINT (437215.39997000975 694419.1705478505),481968.1431574272
173,26,2,0,0,2009-06-22,2009,405,6.275701,-75.564739,HOMICIDIO,POINT (437531.77876260586 693714.9646870659),481968.1431574272
125,19,2,1,0,2009-05-05,2009,405,6.277674,-75.565865,HOMICIDIO,POINT (437407.4585790027 693933.2114389898),481968.1431574272
188,28,3,1,0,2009-07-07,2009,405,6.275335,-75.566376,HOMICIDIO,POINT (437350.65360996354 693674.6992882944),481968.1431574272
115,17,2,5,1,2009-04-25,2009,405,6.274256,-75.565697,HOMICIDIO,POINT (437425.6344695213 693555.33623732),481968.1431574272
80,12,1,5,1,2009-03-21,2009,405,6.274918,-75.56588,HOMICIDIO,POINT (437405.47034411615 693628.5412600012),481968.1431574272
345,50,4,4,1,2009-12-11,2009,405,6.280326,-75.566475,HOMICIDIO,POINT (437340.29896125244 694226.4593259121),481968.1431574272
130,19,2,4,1,2008-05-09,2008,405,6.277249,-75.564876,HURTO_A_RESIDENCIA,POINT (437516.80857432896 693886.1102392861),481968.1431574272
3,1,1,3,0,2008-01-03,2008,1109,6.240525,-75.601892,HURTO_DE_CARRO,POINT (433417.5277144974 689830.8588499095),340841.63879955816
6,1,1,6,1,2008-01-06,2008,1109,6.242487,-75.601913,HURTO_DE_CARRO,POINT (433415.45230546175 690047.7589595738),340841.63879955816
39,6,1,4,1,2008-02-08,2008,1109,6.243423,-75.60017,HURTO_DE_CARRO,POINT (433608.39047631604 690151.0129975874),340841.63879955816
47,7,1,5,1,2008-02-16,2008,1109,6.239395,-75.602882,HURTO_DE_CARRO,POINT (433307.8651287672 689706.0634519985),340841.63879955816
59,9,1,3,0,2008-02-28,2008,1109,6.240816,-75.600165,HURTO_DE_CARRO,POINT (433608.61534847936 689862.8107850585),340841.63879955816
97,14,2,6,1,2008-04-06,2008,1109,6.238825,-75.601534,HURTO_DE_CARRO,POINT (433456.9173503763 689642.8800865912),340841.63879955816
99,15,2,1,0,2008-04-08,2008,1109,6.240816,-75.600165,HURTO_DE_CARRO,POINT (433608.61534847936 689862.8107850585),340841.63879955816
143,21,2,3,0,2008-05-22,2008,1109,6.240506,-75.601959,HURTO_DE_CARRO,POINT (433410.1133763074 689828.7668805093),340841.63879955816
172,25,2,4,1,2008-06-20,2008,1109,6.242654,-75.600073,HURTO_DE_CARRO,POINT (433619.0243057322 690065.9884913459),340841.63879955816
175,26,2,0,0,2008-06-23,2008,1109,6.23773,-75.600806,HURTO_DE_CARRO,POINT (433537.31536074355 689521.7369587573),340841.63879955816
187,27,3,5,1,2008-07-05,2008,1109,6.242402,-75.601588,HURTO_DE_CARRO,POINT (433451.3948789829 690038.3212204765),340841.63879955816
189,28,3,0,0,2008-07-07,2008,1109,6.239746,-75.601568,HURTO_DE_CARRO,POINT (433453.27224003646 689744.7001420422),340841.63879955816
199,29,3,3,0,2008-07-17,2008,1109,6.238938,-75.600609,HURTO_DE_CARRO,POINT (433559.2609086704 689655.2554725406),340841.63879955816
202,29,3,6,1,2008-07-20,2008,1109,6.241004,-75.602768,HURTO_DE_CARRO,POINT (433320.6799272889 689883.9226516082),340841.63879955816
210,31,3,0,0,2008-07-28,2008,1109,6.239923,-75.602841,HURTO_DE_CARRO,POINT (433312.4675557717 689764.4282285128),340841.63879955816
226,33,3,2,0,2008-08-13,2008,1109,6.237679,-75.602167,HURTO_DE_CARRO,POINT (433386.7462049865 689516.2706964478),340841.63879955816
229,33,3,5,1,2008-08-16,2008,1109,6.241093,-75.602302,HURTO_DE_CARRO,POINT (433372.24282764934 689893.7025901442),340841.63879955816
242,35,3,4,1,2008-08-29,2008,1109,6.238844,-75.601072,HURTO_DE_CARRO,POINT (433508.0290975517 689644.9222281431),340841.63879955816
271,39,3,5,1,2008-09-27,2008,1109,6.240914,-75.600284,HURTO_DE_CARRO,POINT (433595.46320996934 689873.6595919192),340841.63879955816
288,42,4,1,0,2008-10-14,2008,1109,6.244072,-75.600026,HURTO_DE_CARRO,POINT (433624.40224137885 690222.7412399916),340841.63879955816
28,5,1,2,0,2009-01-28,2009,1109,6.241259,-75.599452,HURTO_DE_CARRO,POINT (433687.5472877349 689911.6942754508),340841.63879955816
30,5,1,4,1,2009-01-30,2009,1109,6.242751,-75.600193,HURTO_DE_CARRO,POINT (433605.7614636712 690076.7268777051),340841.63879955816
55,9,1,1,0,2009-02-24,2009,1109,6.239301,-75.599826,HURTO_DE_CARRO,POINT (433645.92692789657 689695.2861828711),340841.63879955816
117,18,2,0,0,2009-04-27,2009,1109,6.240974,-75.599628,HURTO_DE_CARRO,POINT (433668.0413069857 689880.2099274303),340841.63879955816
213,31,3,5,1,2009-08-01,2009,1109,6.242838,-75.601022,HURTO_DE_CARRO,POINT (433514.06392311293 690086.4491950186),340841.63879955816
231,34,3,2,0,2009-08-19,2009,1109,6.237748,-75.602494,HURTO_DE_CARRO,POINT (433350.5800338404 689523.9399100414),340841.63879955816
275,40,4,4,1,2009-10-02,2009,1109,6.239004,-75.598411,HURTO_DE_CARRO,POINT (433802.4256763157 689662.275205518),340841.63879955816
